Name,CreekID,Total_m,WBID,CLASS,WBIDLen_m
South Creek,SC08,8749.20744,1982,3F,4158.604608
South Creek,SC08,8749.20744,1982B,3F,2468.058292
Shakett Creek,SC12,5458.227396,2002,3M,1148.613303
Shakett Creek,SC12,5458.227396,1924,3F,232.4545392
Shakett Creek,SC12,5458.227396,1924A,3M,1410.69585
Shakett Creek,SC12,5458.227396,1994,3F,2351.081561
Shakett Creek,SC12,5458.227396,1924B,3F,315.3821433
Curry Creek,SC14,10473.19404,2018A,3M,1059.854247
Curry Creek,SC14,10473.19404,2016,3F,348.4074835
Curry Creek,SC14,10473.19404,2009B,3M,7377.174079
Curry Creek,SC14,10473.19404,2009C,3F,1687.758227
Hatchett Creek,SC15,3679.060789,2015,3M,2422.879091
Hatchett Creek,SC15,3679.060789,2015A,3F,1256.181698
Alligator Creek Sarasota,SC17,4382.990611,1983A1,3M,25.64055567
Alligator Creek Sarasota,SC17,4382.990611,2030,3M,4357.350055
,SC20,1380.496614,2042,3F,1047.241384
,SC20,1380.496614,1983A1,3M,333.2552292
Forked Creek,SC22,9047.275904,2039,3M,9047.276585
Gottfried Creek,SC25,7936.003601,2049,3M,7405.380364
Gottfried Creek,SC25,7936.003601,1983B,2,530.6232377
,SC26,1262.165161,1991C,2,1262.165161
,SC27,1021.677631,1991E,3M,1021.677631
,SC28,1459.023934,2038,3F,1374.791359
,SC28,1459.023934,1991E,3M,84.23257482
,SC29,1703.007244,1991E,3M,78.83820917
,SC29,1703.007244,2037,3F,1624.169035
,SC30,1882.432117,1991E,3M,55.57910837
,SC30,1882.432117,2036,3F,1826.853009
,SC31,3004.588292,1991E,3M,47.7056077
,SC31,3004.588292,2034,3F,2956.882684
,SC32,2501.98736,1991E,3M,66.3168741
,SC32,2501.98736,2031,3F,2435.670486
,SC33,2661.009103,2029,3F,2550.828955
,SC33,2661.009103,1991E,3M,19.99863836
,SC33,2661.009103,2031,3F,90.18150936
,SC34,3524.709056,2011,3F,3457.53216
,SC34,3524.709056,1991G,3M,67.17689646
,SC35,4763.780725,2006,3F,4763.780725
,SC37,2565.828023,1991E,3M,2097.644418
,SC37,2565.828023,1991C,2,468.1836047
Little Salt Creek (warm mineral Sping),SC38,13090.99798,2014,3F,1557.551566
Little Salt Creek (warm mineral Sping),SC38,13090.99798,2026,3M,11307.47134
Little Salt Creek (warm mineral Sping),SC38,13090.99798,1991C,2,213.2371964
Little Salt Creek (warm mineral Sping),SC38,13090.99798,2026A,3M,12.73788808
,SC39,1540.791403,1991C,2,1540.791403
Big Slough Canal,SC40,12315.67771,1976B,1,2953.857689
Big Slough Canal,SC40,12315.67771,2014,3F,3264.632407
Big Slough Canal,SC40,12315.67771,1976C,3M,6097.187619
,SC41,498.0374927,1991B,2,498.0374927
,SC42,1608.035141,1991B,2,1608.035141
,SC43,11343.6496,1991B,2,8362.261012
,SC43,11343.6496,2057,3F,2981.388583
Snead Creek,PC27,499.2009894,1479,3M,499.2002203
Curlew Creek,PC28,3927.705419,1538A,3F,2293.291593
Curlew Creek,PC28,3927.705419,1550,3F,44.35744138
Curlew Creek,PC28,3927.705419,1538,3M,1590.055881
Cedar Creek,PC29,2477.414422,1556,3M,1142.63792
Cedar Creek,PC29,2477.414422,1556A,3F,1334.772975
Cedar Creek,PC29,2477.414422,1528C,3M,0.003582857
Stevenson Creek,PC30,4319.190481,1567C,3F,2512.921159
Stevenson Creek,PC30,4319.190481,1567,3M,1806.269322
McKay Creek,PC31,3516.482427,1633,3M,1391.278991
McKay Creek,PC31,3516.482427,1633B,3F,2125.203437
Church Creek,PC32,2487.506198,1643,3F,2487.50594
Salt Creek,PC10,2400.506401,1709,2,40.97319372
Salt Creek,PC10,2400.506401,1731B,3M,2172.882772
Salt Creek,PC10,2400.506401,1731,3F,158.1851877
Salt Creek,PC10,2400.506401,1558B,2,28.46524746
Lee Creek,HC47,1484.032638,1637,3M,1483.799219
Lee Creek,HC47,1484.032638,1558E,3M,0.233418774
Deer Prairie Creek,SC36,10954.97614,1978,3F,10936.28075
Deer Prairie Creek,SC36,10954.97614,1991E,3M,18.69539159
,CC95,562.8138194,2060A2,2,562.8138194
,CC27,2206.763034,2060A2,2,239.5362012
,CC27,2206.763034,2060A1,2,1967.226833
Elkcam Waterway,CC106,2305.237728,2056E,3M,2305.237728
Olman Waterway,CC107,1305.094126,2056E,3M,1305.094126
Desoto Canal,CC108,1304.596709,2056E,3M,1304.596709
,CC63,1212.485216,2073,3M,1198.403903
,CC63,1212.485216,2065B,2,14.08131349
,CC109,1547.65541,2073,3M,1538.663206
,CC109,1547.65541,2065B,2,8.992204115
,CC110,1106.432573,2073,3M,1031.061854
,CC110,1106.432573,2065B,2,75.37071921
Alligator Creek,CC65,13876.70705,2074,1,2344.036811
Alligator Creek,CC65,13876.70705,2077,3F,754.5789763
Alligator Creek,CC65,13876.70705,2074B,3M,10778.09126
,CC111,3290.416545,2077,3F,941.4246854
,CC111,3290.416545,2074B,3M,63.91365243
,CC111,3290.416545,2065B,2,2285.078207
Whidden Branch/Alligator Creek,CC66,27428.18425,2077,3F,13918.40898
Whidden Branch/Alligator Creek,CC66,27428.18425,2081,3F,11250.43505
Whidden Branch/Alligator Creek,CC66,27428.18425,2074B,3M,486.6653385
Whidden Branch/Alligator Creek,CC66,27428.18425,2065B,2,1772.674879
Bee Branch,PC34,5023.210441,1527B,3F,4950.821527
Bee Branch,PC34,5023.210441,1527A,3M,72.38891423
Innisbrook Canal,PC33,5361.770995,1508,3M,4481.532893
Innisbrook Canal,PC33,5361.770995,1508A,3F,879.7999436
Innisbrook Canal,PC33,5361.770995,8045D,3M,0.4381585
Minnow Creek,PC35,1004.195171,1535,3M,1004.195171
Spring Branch,PC36,3740.84549,1567B,3F,3154.692493
Spring Branch,PC36,3740.84549,1567,3M,586.1529966
Rattlesnake Creek,PC37,1051.18305,1528,3M,7.880102901
Rattlesnake Creek,PC37,1051.18305,1614,3F,1043.302947
Hendry Creek,LC46,16814.58232,3258B2,3M,16400.3049
Hendry Creek,LC46,16814.58232,3258X,3F,414.2774254
Mullock Creek,LC47,14480.56339,3258C4,3M,9890.954768
Mullock Creek,LC47,14480.56339,3258C2,3F,4585.758722
Mullock Creek,LC47,14480.56339,3258D3,3F,3.849903772
Thornton Branch,DC10,10515.53769,2008,3F,10090.01962
Thornton Branch,DC10,10515.53769,2035,3F,425.5180701
,DC02,1546.200358,1623A,3F,1546.200358
