OBJECTID,Name,CreekID,Total_m
169,Hancock Creek/Yellow Fever Creek,LC20,17597.55124180000
170,Powell Creek,LC21,12186.92013330000
171,,LC22,7668.58532292000
172,Daughtrey Creek,LC23,7057.02527554000
173,,LC24,4071.94340307000
174,,LC25,3184.17193618000
175,Popash Creek,LC26,2920.48833518000
176,Stroud Creek,LC27,4971.19030620000
177,Palm Creek,LC28,2356.37547259000
178,Owl Creek,LC29,2564.25952922000
179,Trout Creek,LC30,10830.25195210000
180,Telegraph Creek,LC31,3313.12620001000
182,Orange River,LC33,8573.30969143000
183,Billy Creek,LC35,8639.22345606000
184,Manuel Branch,LC36,1399.15716429000
185,Whiskey Creek,LC39,2464.18524488000
186,,LC40,7342.91855880000
187,,LC43,838.53107270500
188,,LC44,2672.21216808000
189,Cow Creek,LC45,2099.16392616000
190,Hendry Creek,LC46,16451.37031620000
191,Mullock Creek,LC47,15068.79836310000
192,Estero River/Halfway Creek,LC48,12932.79754000000
193,,LC49,614.20187117400
194,Spring Creek,LC50,5124.31684062000
195,Imperial River/Oak Creek,LC51,14112.49972770000
196,,LC53,1801.86413458000
197,,LC54,1493.01957488000
198,Underhill Creek,LC55,1293.69548045000
199,,LC56,2652.56212735000
200,,LC57,1208.46908368000
201,,LC58,928.97445412400
202,Mud Creek,LC59,3049.44198089000
203,,LC60,1970.52231146000
204,Clark Creek,MC01,11123.67779030000
205,Frog Creek,MC02,23788.09596780000
206,,MC03,3575.80911368000
207,McMullen Creek,MC04,3921.93009652000
208,,MC05,3161.82516615000
209,Palmetto Creek,MC06,2749.34031219000
210,King Creek,MC07,1896.49437089000
211,Memphis Creek,MC08,2133.63657514000
212,,MC09,7326.51121107000
213,,MC10,4920.06027239000
214,,MC11,8010.75317985000
215,,MC12,6060.93854107000
216,Mill Creek,MC13,41269.94046080000
217,Gates Creek,MC14,16457.83803610000
218,,MC15,3164.85534038000
219,,MC16,2348.75691097000
220,,MC17,12328.16880020000
221,,MC19,5891.75997269000
222,,MC20,1675.16637763000
223,,MC21,3931.83062825000
224,,MC22,2174.79695992000
225,Cypress Strand,MC23,13824.91590070000
226,,MC24,4416.63929825000
227,,MC26,791.61493335200
228,,MC27,989.18441361800
229,,MC28,4134.29780981000
230,Gap Creek,MC29,6430.44028662000
231,Sugarhouse Creek,MC30,10121.20625800000
232,,MC31,1505.28885389000
233,Wares Creek,MC32,11436.84365620000
234,,MC33,1335.23911342000
235,Wares Creek,MC34,8756.03307248000
236,Palma Sola Creek,MC35,2994.45698956000
237,,MC36,5053.35994640000
238,,MC37,1412.44920505000
239,Cedar Hammock Creek,MC38,8816.80902744000
240,Bowlees Creek,MC39,23700.32475150000
241,,MC40,2777.80605948000
242,,MC41,2360.86350537000
243,,MC42,957.62968442000
244,,MC43,3517.53960913000
245,Williams Creek,MC44,8486.95951603000
246,Little Redfish Creek,MC45,431.67530391300
247,Peterson Creek,MC46,958.21640648000
248,,MC47,661.16790531200
249,,MC48,790.90514696900
250,,PC01,8270.34531824000
251,Cross Bayou,PC02,8161.47247763000
252,,PC03,5322.18113044000
253,Saint Joes Creek,PC04,10306.83470670000
254,Bear Creek,PC05,3015.23232652000
255,,PC06,2351.48918686000
256,,PC07,2702.22107412000
257,,PC08,2873.68233782000
258,Bayou Creek,PC09,1895.45976903000
259,Salt Creek,PC10,2400.50640080000
260,Booker Creek,PC12,5004.55537834000
261,,PC13,1638.33977690000
262,Turners Creek,PC14,7249.70650527000
263,Tinney Creek,PC15,4454.35608693000
264,Cross Bayou,PC16,4952.36619645000
265,Long Branch,PC17,5174.20537574000
266,Allen Creek,PC18,10510.66839180000
267,Mullet Creek,PC19,3020.49688636000
268,Bishop Creek,PC20,4420.26246125000
269,Mobbly Bayou,PC21,1060.28193155000
270,,PC22,873.72872631700
271,,PC23,1564.55616832000
272,Moccasin Creek,PC24,2210.58719472000
273,Grassy Creek,PC25,1472.06734258000
274,Briar Creek,PC26,2635.73170726000
13173,Snead Creek,PC27,499.20098943100
3331,Curlew Creek,PC28,3927.70541904000
2550,Cedar Creek,PC29,2477.41442221000
13745,Stevenson Creek,PC30,4319.19048129000
8406,McKay Creek,PC31,3516.48242739000
2837,Church Creek,PC32,2487.50619834000
15090,Innisbrook Canal,PC33,5361.77099543000
5644,Bee Branch,PC34,5023.21044079000
178583,Minnow Creek,PC35,1004.19517147000
466,Spring Branch,PC36,3740.84548986000
467,Rattlesnake Creek,PC37,1051.18304969000
275,Whitaker Bayou,SC01,2520.86093989000
276,Hudson Bayou,SC02,3892.81171805000
277,Phillippi Creek,SC03,17088.52605270000
278,Mathaney Creek,SC04,940.33955357900
279,Clower Creek,SC06,1393.29326902000
280,Catfish/North Creek,SC07,6090.31757321000
281,South Creek,SC08,8749.20743995000
282,Shakett Creek,SC12,5458.22739634000
283,Curry Creek,SC14,10473.19403640000
284,Hatchett Creek,SC15,3679.06078929000
285,Alligator Creek Sarasota,SC17,4382.99061087000
286,,SC20,1380.49661363000
287,Forked Creek,SC22,9047.27590448000
288,Gottfried Creek,SC25,7936.00360149000
289,,SC26,1262.16516106000
290,,SC27,1021.67763050000
291,,SC28,1459.02393350000
292,,SC29,1703.00724367000
293,,SC30,1882.43211708000
294,,SC31,3004.58829195000
295,,SC32,2501.98735966000
296,,SC33,2661.00910293000
297,,SC34,3524.70905646000
298,,SC35,4763.78072451000
299,Deer Prairie Creek,SC36,10954.97613880000
300,,SC37,2565.82802319000
301,Little Salt Creek (warm mineral Sping),SC38,13090.99798490000
302,,SC39,1540.79140315000
303,Big Slough Canal,SC40,12315.67771480000
304,,SC41,498.03749270200
305,,SC42,1608.03514130000
306,,SC43,11343.64959520000
